Supplier Name,Pricing Structure,Price $/month,Price (cents/kWh),Introductory Price,Enrollment Fee,Contract Term,Cancellation Fee,Automatic Renewal,Renewable Energy Content %,100% New Regional Resources,Additional Products/Services,Estimated Monthly Cost
"Eligo Energy MA","Fixed"," ","8.670 cents/kWh"," "," ","6 months","$10.00 per month remaining on term","Variable-price product"," ","No","","$52.02"
"Eligo Energy MA","Fixed"," ","8.870 cents/kWh"," "," ","6 months","$10.00 per month remaining on term","Variable-price product","100%","No","","$53.22"
"Town Square Energy","Fixed"," ","9.170 cents/kWh"," "," ","6 months"," ","Variable-price product"," ","No","","$55.02"
"Starion Energy","Fixed"," ","9.190 cents/kWh"," "," ","6 months"," ","Fixed-price product"," ","No","Gift Card,Rewards Programs","$55.14"
"Clearview Energy","Fixed"," ","9.290 cents/kWh"," "," ","12 months","$50.00","Variable-price product","100%","No","Rewards Programs","$55.74"
"Starion Energy","Fixed"," ","9.490 cents/kWh"," "," ","6 months"," ","Fixed-price product","100%","No","Gift Card,Rewards Programs","$56.94"
"Major Energy Electric Services","Fixed"," ","10.000 cents/kWh"," "," ","12 months"," ","Variable-price product"," ","No","","$60.00"
"Sunwave Gas & Power","Fixed"," ","10.120 cents/kWh"," "," ","9 months","$50.00","Variable-price product"," ","No","","$60.72"
"Clearview Energy","Fixed"," ","10.190 cents/kWh"," "," ","6 months","$50.00","Variable-price product","100%","No","Rewards Programs","$61.14"
"Sunwave Gas & Power","Fixed"," ","10.210 cents/kWh"," "," ","32 months","$200.00","Variable-price product"," ","No","","$61.26"
"Sunwave Gas & Power","Fixed"," ","10.230 cents/kWh"," "," ","6 months","$50.00","No automatic renewal"," ","No","","$61.38"
"Verde Energy USA","Fixed"," ","10.290 cents/kWh"," "," ","6 months"," ","Variable-price product","100%","No","","$61.74"
"Starion Energy","Fixed"," ","10.290 cents/kWh"," "," ","12 months"," ","Fixed-price product"," ","No","Gift Card,Rewards Programs","$61.74"
"Residents Energy","Fixed"," ","10.480 cents/kWh"," "," ","6 months"," ","No automatic renewal"," ","No","","$62.88"
"Liberty Power Holdings","Fixed"," ","10.491 cents/kWh"," "," ","6 months","$10.00 per month remaining on term","Variable-price product"," ","No","Rewards Programs","$62.95"
"Sunwave Gas & Power","Fixed"," ","10.560 cents/kWh"," "," ","24 months","$200.00","Variable-price product"," ","No","","$63.36"
"Starion Energy","Fixed"," ","10.590 cents/kWh"," "," ","12 months"," ","Fixed-price product","100%","No","Gift Card,Rewards Programs","$63.54"
"Residents Energy","Fixed"," ","10.680 cents/kWh"," "," ","8 months"," ","No automatic renewal"," ","No","","$64.08"
"Major Energy Electric Services","Fixed"," ","10.690 cents/kWh"," "," ","6 months"," ","Variable-price product"," ","No","","$64.14"
"Liberty Power Holdings","Fixed"," ","10.691 cents/kWh"," "," ","6 months","$10.00 per month remaining on term","Variable-price product","100%","No","Rewards Programs","$64.15"
"Sunwave Gas & Power","Fixed"," ","10.730 cents/kWh"," "," ","6 months","$50.00","No automatic renewal","100%","No","","$64.38"
"Sunwave Gas & Power","Fixed"," ","10.820 cents/kWh"," "," ","12 months","$100.00","Variable-price product"," ","No","","$64.92"
"Direct Energy Services","Fixed"," ","10.890 cents/kWh"," "," ","7 months"," ","Variable-price product","100%","No","","$65.34"
"SmartEnergy","Fixed"," ","10.900 cents/kWh"," "," ","6 months"," ","Variable-price product","100%","No","","$65.40"
"Liberty Power Holdings","Fixed"," ","10.990 cents/kWh"," "," ","18 months","$10.00 per month remaining on term","Variable-price product"," ","No","Rewards Programs","$65.94"
"Liberty Power Holdings","Fixed"," ","10.990 cents/kWh"," "," ","30 months","$10.00 per month remaining on term","Variable-price product"," ","No","Rewards Programs","$65.94"
"Liberty Power Holdings","Fixed"," ","11.190 cents/kWh"," "," ","30 months","$10.00 per month remaining on term","Variable-price product","100%","No","Rewards Programs","$67.14"
"Liberty Power Holdings","Fixed"," ","11.191 cents/kWh"," "," ","18 months","$10.00 per month remaining on term","Variable-price product","100%","No","Rewards Programs","$67.15"
"Discount Power","Fixed","$4.95","10.500 cents/kWh"," "," ","6 months"," ","Variable-price product","100%","No","Rewards Programs","$67.95"
"Sunwave Gas & Power","Fixed"," ","11.360 cents/kWh"," "," ","24 months","$200.00","Variable-price product","100%","No","","$68.16"
"Residents Energy","Fixed"," ","11.370 cents/kWh"," "," ","20 months"," ","No automatic renewal"," ","No","","$68.22"
"Direct Energy Services","Fixed"," ","11.490 cents/kWh"," "," ","18 months"," ","Variable-price product","100%","No","","$68.94"
"Verde Energy USA","Fixed"," ","11.490 cents/kWh"," "," ","12 months"," ","Variable-price product","100%","No","Cash Back","$68.94"
"Constellation New Energy","Fixed"," ","11.490 cents/kWh"," "," ","12 months","$150.00","Variable-price product"," ","No","","$68.94"
"Ambit Energy","Fixed"," ","11.500 cents/kWh"," "," ","12 months"," ","Variable-price product"," ","No","","$69.00"
"Sunwave Gas & Power","Fixed"," ","11.620 cents/kWh"," "," ","12 months","$100.00","Variable-price product","100%","No","","$69.72"
"Town Square Energy","Fixed"," ","11.670 cents/kWh"," "," ","24 months"," ","Variable-price product"," ","No","","$70.02"
"Constellation New Energy","Fixed"," ","11.690 cents/kWh"," "," ","24 months","$150.00","Fixed-price product","100%","No","","$70.14"
"Town Square Energy","Fixed"," ","11.970 cents/kWh"," "," ","38 months"," ","Variable-price product"," ","No","","$71.82"
"Discount Power","Fixed"," ","12.200 cents/kWh"," "," ","12 months"," ","Variable-price product","100%","No","Rewards Programs","$73.20"
"Ambit Energy","Fixed"," ","12.250 cents/kWh"," "," ","12 months"," ","Variable-price product"," ","No","Rewards Programs","$73.50"
"IGS Energy","Fixed"," ","12.490 cents/kWh"," "," ","36 months","$99.00","Variable-price product","100%","No","","$74.94"
"IGS Energy","Fixed"," ","12.990 cents/kWh"," "," ","12 months","$99.00","Variable-price product","100%","No","","$77.94"
"Green Mountain Energy","Fixed"," ","13.000 cents/kWh"," "," ","12 months"," ","Variable-price product","100%","No","","$78.00"
"Ambit Energy","Fixed"," ","13.500 cents/kWh"," "," ","12 months"," ","Variable-price product","100%","No","","$81.00"
"SFE Energy Massachusetts","Fixed"," ","13.690 cents/kWh","12.32 cents/kWh for initial 1 months"," ","36 months","$2.50 per month remaining on term","Fixed-price product"," ","No","","$81.91"
"CleanChoice Energy","Fixed"," ","13.800 cents/kWh"," "," ","12 months"," ","Fixed-price product","100%","No","Rewards Programs,Sponsored Promotions","$82.80"
"NRG Home","Fixed"," ","14.000 cents/kWh"," "," ","15 months","$10.00 per month remaining on term","Variable-price product"," ","No","","$84.00"
"Ambit Energy","Fixed"," ","15.000 cents/kWh"," "," ","6 months"," ","Variable-price product"," ","No","","$90.00"
"SFE Energy Massachusetts","Fixed"," ","15.670 cents/kWh","14.30 cents/kWh for initial 1 months"," ","36 months","$2.50 per month remaining on term","Fixed-price product"," ","No","Carbon Offset,Cash Back","$93.79"
